,Unnamed: 0,model_name,batch_size,seq_length,latency,latency_std,throughput,start_timestamp,end_timestamp,mig_profile,gract_mean,gract_std,fb_used_mean,fb_used_std
0,0,bert-base,32,32,56.16,0.1,53.42,1661757602,1661757723,7g.80gb,0.95,0.009,4718.0,0.0
1,0,bert-base,32,64,91.66,0.06,32.73,1661756916,1661757037,7g.80gb,0.968,0.024,5346.0,0.0
2,0,bert-base,32,128,162.73,5.48,18.44,1661757844,1661757965,7g.80gb,0.98,0.001,6870.066,19.032
3,0,bert-base,32,256,235.86,56.78,12.72,1661757988,1661758109,7g.80gb,0.984,0.006,11476.0,0.0
4,0,bert-base,32,512,248.75,85.08,12.06,1661758134,1661758255,7g.80gb,0.984,0.004,25850.459,2700.632
5,0,bert-base,32,32,113.58,0.07,26.41,1661759505,1661759626,3g.40gb,0.975,0.011,4482.23,63.475
6,0,bert-base,32,64,197.35,0.07,15.2,1661758672,1661758793,3g.40gb,0.985,0.003,5108.0,0.0
7,0,bert-base,32,128,363.99,15.75,8.24,1661759654,1661759775,3g.40gb,0.99,0.003,6533.869,16.744
8,0,bert-base,32,256,529.19,127.8,5.67,1661759810,1661759931,3g.40gb,0.992,0.005,11142.0,0.0
9,0,bert-base,32,512,561.67,193.45,5.34,1661759961,1661760082,3g.40gb,0.993,0.003,24510.033,3508.645
10,0,bert-base,32,32,176.56,0.1,16.99,1661761448,1661761569,2g.20gb,0.984,0.003,4424.0,0.0
11,0,bert-base,32,64,302.41,0.04,9.92,1661760501,1661760622,2g.20gb,0.99,0.005,5060.0,0.0
12,0,bert-base,32,128,551.65,19.34,5.44,1661761615,1661761736,2g.20gb,0.994,0.003,6468.098,19.751
13,0,bert-base,32,256,823.4,199.68,3.64,1661761873,1661761994,2g.20gb,0.995,0.005,11078.0,0.0
14,0,bert-base,32,512,871.27,312.02,3.44,1661762031,1661762153,2g.20gb,0.994,0.012,18358.472,1454.451
15,0,bert-base,32,32,347.43,0.17,8.63,1661763467,1661763588,1g.10gb,0.991,0.003,4358.0,0.0
16,0,bert-base,32,64,595.6,0.12,5.04,1661762701,1661762822,1g.10gb,0.995,0.003,4942.0,0.0
17,0,bert-base,32,128,1085.94,44.99,2.76,1661763632,1661763753,1g.10gb,0.997,0.004,6398.512,33.36
18,0,bert-base,32,256,0.0,0.0,0.0,0,0,1g.10gb,0.0,0.0,0.0,0.0
19,0,bert-base,32,512,0.0,0.0,0.0,0,0,1g.10gb,0.0,0.0,0.0,0.0
